Feature,Mean_Abs_SHAP
num__INST_DAYS_PAYMENT_DELAY_POSITIVE_SUM,0.0030460237
cat__ORGANIZATION_TYPE_Transport: type 3,0.0029274619
num__POS_CNT_INSTALMENT_SUM,0.0028764955
num__LIVINGAPARTMENTS_AVG,0.0028519821
num__CC_CNT_DRAWINGS_ATM_CURRENT_SUM,0.002786997
num__HAS_INSTALLMENT_HISTORY,0.0027720006
num__POS_COUNT,0.0027552734
num__POS_NAME_CONTRACT_STATUS_Signed,0.0026560992
num__YEARS_BUILD_MEDI,0.0025807119
num__POS_CNT_INSTALMENT_MIN,0.0025759656
num__LIVINGAREA_AVG,0.0025675956
num__POS_NAME_CONTRACT_STATUS_Completed,0.002557333
num__POS_NAME_CONTRACT_STATUS_Returned to the store,0.0025191344
num__INST_INSTALLMENT_PAYMENT_RATIO_MAX,0.0024602022
cat__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.002365015
num__CC_AMT_DRAWINGS_ATM_CURRENT_SUM,0.0022946126
num__BUREAU_OVERDUE_AMOUNT_SUM,0.002216366
num__ENTRANCES_AVG,0.0021987557
cat__OCCUPATION_TYPE_Sales staff,0.0020602387
num__CC_CNT_DRAWINGS_CURRENT_SUM,0.002040951
num__CC_CNT_INSTALMENT_MATURE_CUM_SUM,0.0020358474
num__CC_CC_MIN_PAYMENT_RATIO_MIN,0.0020212948
num__BUREAU_AMT_ANNUITY_MEAN,0.0020189132
cat__ORGANIZATION_TYPE_Industry: type 9,0.001998721
num__LANDAREA_MEDI,0.0019358294
num__BB_MONTHS_BALANCE_COUNT_MEAN,0.0019181421
num__INST_LATE_PAYMENT_SUM,0.0019071482
num__NONLIVINGAREA_AVG,0.0018482707
num__CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,0.001772027
num__CC_CC_MIN_PAYMENT_RATIO_SUM,0.0017087358
num__BUREAU_CREDIT_TYPE_COUNT,0.0016454672
cat__NAME_HOUSING_TYPE_Office apartment,0.0016201215
num__POS_SK_DPD_MAX,0.0015766835
num__COMMONAREA_AVG,0.0015354685
num__BB_MONTHS_BALANCE_COUNT_MAX,0.0015041366
num__BB_DELINQUENCY_RATE_MAX,0.0014794229
num__FLOORSMIN_AVG,0.0014459612
num__FLAG_DOCUMENT_18,0.0014152663
num__POS_SK_DPD_MEAN,0.0013929867
num__POS_LATE_RATE,0.001384926
num__NONLIVINGAPARTMENTS_MODE,0.0013828041
num__PREV_APPLICATION_COUNT,0.0013421741
cat__WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0013233116
cat__OCCUPATION_TYPE_Low-skill Laborers,0.001307475
num__CC_AMT_BALANCE_SUM,0.0012711509
num__CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,0.0012700855
num__BUREAU_SOLD_COUNT,0.001229379
num__CC_AMT_DRAWINGS_POS_CURRENT_MEAN,0.001227709
num__CC_AMT_DRAWINGS_ATM_CURRENT_MAX,0.0012160314
num__CC_CC_PAYMENT_RECEIVABLE_RATIO_MEAN,0.0012156246
num__INST_UNDERPAYMENT_SUM,0.0011776102
num__CC_AMT_BALANCE_MIN,0.0011489505
cat__FONDKAPREMONT_MODE_None,0.0011305538
cat__OCCUPATION_TYPE_High skill tech staff,0.001126677
num__PREV_APPROVED_COUNT,0.0011034112
num__CNT_CHILDREN,0.0010528197
num__CC_AMT_DRAWINGS_CURRENT_SUM,0.0010279982
cat__WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0010182135
cat__ORGANIZATION_TYPE_Police,0.0010128773
num__CNT_FAM_MEMBERS,0.0010003644
num__FLAG_DOCUMENT_8,0.0009670341
num__FLAG_DOCUMENT_16,0.0009581466
num__CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,0.00092563237
"cat__WALLSMATERIAL_MODE_Stone, brick",0.0009222578
num__CC_AMT_PAYMENT_CURRENT_MIN,0.0009220399
cat__EMERGENCYSTATE_MODE_No,0.00091808854
num__BB_STATUS_1_COUNT_SUM,0.0009141386
num__CC_CC_DRAWING_LIMIT_RATIO_MAX,0.000903096
num__HAS_POS_HISTORY,0.00088649633
num__CC_AMT_DRAWINGS_POS_CURRENT_SUM,0.00085071294
num__POS_CNT_INSTALMENT_FUTURE_MIN,0.00083546364
num__CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,0.0008315239
cat__NAME_INCOME_TYPE_Pensioner,0.0007820286
num__CC_CC_PAYMENT_RECEIVABLE_RATIO_MIN,0.0007533736
num__BB_DELINQUENCY_COUNT_MEAN,0.0007446636
num__CC_SK_DPD_MAX,0.00073450076
cat__FLAG_OWN_REALTY_N,0.0007344571
num__BB_DELINQUENCY_COUNT_MAX,0.00072518043
num__PREV_UNUSED_COUNT,0.00072181766
num__CC_CC_DRAWING_LIMIT_RATIO_SUM,0.00071079336
num__CC_CC_UTILIZATION_RATIO_MIN,0.0007051497
num__CC_CNT_DRAWINGS_ATM_CURRENT_MAX,0.00070016744
num__PREV_CANCELED_COUNT,0.0006971441
cat__FONDKAPREMONT_MODE_reg oper spec account,0.00069705915
cat__WALLSMATERIAL_MODE_None,0.0006785721
num__CC_CNT_DRAWINGS_POS_CURRENT_MIN,0.00066688174
cat__WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0006597592
num__CC_AMT_DRAWINGS_POS_CURRENT_MAX,0.00065826764
num__CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,0.00065802457
num__LIVE_CITY_NOT_WORK_CITY,0.00064276974
cat__ORGANIZATION_TYPE_Realtor,0.00062776875
cat__NAME_EDUCATION_TYPE_Lower secondary,0.0006205417
num__FLAG_DOCUMENT_13,0.0006186382
num__CC_AMT_DRAWINGS_CURRENT_MAX,0.0005838712
num__BB_EVER_SEVERE_DELINQUENCY_SUM,0.00057445915
cat__ORGANIZATION_TYPE_Security Ministries,0.0005704987
cat__WEEKDAY_APPR_PROCESS_START_THURSDAY,0.00056138326
cat__NAME_CONTRACT_TYPE_Revolving loans,0.00055234466
num__FLAG_DOCUMENT_6,0.0005453475
cat__NAME_EDUCATION_TYPE_Incomplete higher,0.0005404149
cat__NAME_HOUSING_TYPE_Rented apartment,0.0005328992
cat__ORGANIZATION_TYPE_Kindergarten,0.00053004397
num__BB_DELINQUENCY_COUNT_SUM,0.00047063254
cat__NAME_FAMILY_STATUS_Civil marriage,0.0004368946
num__POS_POS_REMAINING_INST_RATIO_MAX,0.00043175253
cat__NAME_FAMILY_STATUS_Separated,0.00043023328
cat__NAME_TYPE_SUITE_Unaccompanied,0.0004217834
cat__NAME_INCOME_TYPE_Commercial associate,0.00041843692
cat__OCCUPATION_TYPE_None,0.0003975181
num__AMT_REQ_CREDIT_BUREAU_DAY,0.00038937968
num__BUREAU_OVERDUE_COUNT,0.0003615743
num__CC_LATE_RATE,0.00035859618
cat__HOUSETYPE_MODE_None,0.00035737347
cat__OCCUPATION_TYPE_Medicine staff,0.00033354585
cat__ORGANIZATION_TYPE_Other,0.00030421736
num__BB_EVER_DELINQUENT_SUM,0.00029504517
cat__ORGANIZATION_TYPE_Medicine,0.0002939644
num__CC_MONTHS_BALANCE_MAX,0.00028208335
num__CC_SK_DPD_DEF_MAX,0.00027441166
cat__NAME_HOUSING_TYPE_Municipal apartment,0.0002693197
num__REG_REGION_NOT_WORK_REGION,0.0002534145
cat__ORGANIZATION_TYPE_Industry: type 3,0.0002470586
num__REG_CITY_NOT_WORK_CITY,0.00024019887
cat__ORGANIZATION_TYPE_Bank,0.00023485228
num__CC_SEVERE_DPD_RATE,0.00022626703
num__AMT_REQ_CREDIT_BUREAU_MON,0.00021946864
cat__FLAG_OWN_REALTY_Y,0.0002189939
num__BB_STATUS_2_PLUS_RATE_MAX,0.00021422097
num__CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,0.00021160164
num__LIVE_REGION_NOT_WORK_REGION,0.00021055886
cat__FONDKAPREMONT_MODE_reg oper account,0.00020118809
num__DAYS_EMPLOYED_ANOM,0.0001858762
num__FLAG_DOCUMENT_11,0.00018289726
num__CC_CNT_INSTALMENT_MATURE_CUM_MIN,0.0001805355
cat__ORGANIZATION_TYPE_Trade: type 7,0.00018003001
num__BUREAU_OVERDUE_DAYS_MAX,0.00017782213
cat__NAME_TYPE_SUITE_Family,0.0001752427
cat__OCCUPATION_TYPE_Managers,0.00017120158
cat__ORGANIZATION_TYPE_Security,0.00016620861
num__AMT_REQ_CREDIT_BUREAU_WEEK,0.00016004215
cat__EMERGENCYSTATE_MODE_None,0.00015494825
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.00015132548
num__BB_STATUS_2_PLUS_COUNT_SUM,0.00014262558
cat__ORGANIZATION_TYPE_Industry: type 1,0.00012434233
num__CC_CNT_DRAWINGS_CURRENT_MIN,0.0001156439
cat__ORGANIZATION_TYPE_Trade: type 2,0.000112129615
num__CC_AMT_DRAWINGS_POS_CURRENT_MIN,0.000111848865
num__BUREAU_OVERDUE_RATIO,0.0001115821
cat__NAME_HOUSING_TYPE_With parents,0.00011113495
cat__OCCUPATION_TYPE_Cleaning staff,0.00010710844
num__CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,0.00010314093
num__CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,0.00010035241
cat__HOUSETYPE_MODE_block of flats,9.930155e-05
cat__NAME_FAMILY_STATUS_Widow,9.6921234e-05
num__HAS_CREDIT_CARD_HISTORY,9.475211e-05
cat__ORGANIZATION_TYPE_Agriculture,9.168845e-05
num__FLAG_CONT_MOBILE,7.0727496e-05
cat__WALLSMATERIAL_MODE_Wooden,7.032008e-05
cat__ORGANIZATION_TYPE_Government,6.356774e-05
cat__HOUSETYPE_MODE_specific housing,6.259734e-05
cat__ORGANIZATION_TYPE_University,6.18625e-05
num__POS_POS_REMAINING_INST_RATIO_MIN,5.964861e-05
cat__ORGANIZATION_TYPE_Postal,5.7057612e-05
cat__ORGANIZATION_TYPE_Trade: type 6,5.2669853e-05
num__BB_STATUS_2_PLUS_RATE_MEAN,5.1463216e-05
cat__OCCUPATION_TYPE_Security staff,4.9822855e-05
num__FLAG_EMAIL,4.154082e-05
num__CC_CNT_DRAWINGS_OTHER_CURRENT_MAX,0.0
num__CC_AMT_INST_MIN_REGULARITY_MIN,0.0
num__POS_NAME_CONTRACT_STATUS_Canceled,0.0
num__CC_CNT_DRAWINGS_ATM_CURRENT_MIN,0.0
num__CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,0.0
num__CC_SK_DPD_MIN,0.0
cat__ORGANIZATION_TYPE_Religion,0.0
cat__ORGANIZATION_TYPE_Restaurant,0.0
cat__WALLSMATERIAL_MODE_Others,0.0
cat__WALLSMATERIAL_MODE_Monolithic,0.0
cat__HOUSETYPE_MODE_terraced house,0.0
cat__WALLSMATERIAL_MODE_Block,0.0
cat__ORGANIZATION_TYPE_Telecom,0.0
cat__ORGANIZATION_TYPE_Services,0.0
cat__ORGANIZATION_TYPE_Trade: type 5,0.0
cat__ORGANIZATION_TYPE_Trade: type 4,0.0
cat__ORGANIZATION_TYPE_Trade: type 3,0.0
cat__WALLSMATERIAL_MODE_Mixed,0.0
num__FLAG_MOBIL,0.0
num__POS_NAME_CONTRACT_STATUS_Approved,0.0
num__CC_AMT_DRAWINGS_ATM_CURRENT_MIN,0.0
num__CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,0.0
num__FLAG_DOCUMENT_5,0.0
num__POS_NAME_CONTRACT_STATUS_Amortized debt,0.0
num__FLAG_DOCUMENT_19,0.0
num__CC_AMT_DRAWINGS_CURRENT_MIN,0.0
num__FLAG_DOCUMENT_15,0.0
num__FLAG_DOCUMENT_17,0.0
num__FLAG_DOCUMENT_20,0.0
num__FLAG_DOCUMENT_14,0.0
num__POS_NAME_CONTRACT_STATUS_Demand,0.0
num__POS_NAME_CONTRACT_STATUS_nan,0.0
num__POS_NAME_CONTRACT_STATUS_XNA,0.0
cat__ORGANIZATION_TYPE_Trade: type 1,0.0
num__FLAG_DOCUMENT_7,0.0
num__FLAG_DOCUMENT_9,0.0
num__FLAG_DOCUMENT_10,0.0
num__FLAG_DOCUMENT_12,0.0
num__FLAG_DOCUMENT_21,0.0
num__POS_SK_DPD_DEF_MIN,0.0
num__CC_CARD_COUNT,0.0
num__CC_CC_DRAWING_LIMIT_RATIO_MIN,0.0
num__CC_SK_DPD_DEF_MIN,0.0
num__CC_CNT_DRAWINGS_OTHER_CURRENT_MIN,0.0
num__CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,0.0
cat__OCCUPATION_TYPE_Realty agents,0.0
cat__NAME_FAMILY_STATUS_Unknown,0.0
cat__NAME_HOUSING_TYPE_Co-op apartment,0.0
cat__OCCUPATION_TYPE_Private service staff,0.0
cat__OCCUPATION_TYPE_IT staff,0.0
num__BUREAU_CREDIT_PROLONG_TOTAL,0.0
num__BUREAU_BAD_DEBT_COUNT,0.0
cat__OCCUPATION_TYPE_Cooking staff,0.0
cat__OCCUPATION_TYPE_HR staff,0.0
cat__NAME_TYPE_SUITE_Other_B,0.0
cat__NAME_TYPE_SUITE_Other_A,0.0
num__POS_SK_DPD_MIN,0.0
num__AMT_REQ_CREDIT_BUREAU_HOUR,0.0
num__FLAG_DOCUMENT_4,0.0
num__FLAG_DOCUMENT_2,0.0
cat__NAME_TYPE_SUITE_Children,0.0
cat__CODE_GENDER_XNA,0.0
cat__NAME_TYPE_SUITE_Group of people,0.0
"cat__NAME_TYPE_SUITE_Spouse, partner",0.0
cat__NAME_EDUCATION_TYPE_Academic degree,0.0
